Symbol,Company Name,Txn Type,Txn Date/Time, Gross Leverage, Net Leverage,# Shares,Price,Txn Value,Portfolio # Shares,Portfolio Value,Commission,Slippage(10BPS),Comments
CVS,CVS,Buy,2009-11-17 16:00:00,1.00033075209,1.00033075209,49.0,29.37,1439.13,4367.0,1179399.91,0.0,0.0,
DV,DV,Sell,2009-11-17 16:00:00,1.00033075209,1.00033075209,-52.0,53.55,-2784.6,2413.0,1179399.91,0.0,0.0,
HCN,HCN,Sell,2009-11-17 16:00:00,1.00033075209,1.00033075209,-7.0,37.01,-259.07,3033.0,1179399.91,0.0,0.0,
HCP,HCP,Sell,2009-11-17 16:00:00,1.00033075209,1.00033075209,-27.0,25.56,-690.12,4462.0,1179399.91,0.0,0.0,
MNST,MNST,Sell,2009-11-17 16:00:00,1.00033075209,1.00033075209,-24.0,17.72,-425.28,3710.0,1179399.91,0.0,0.0,
MUR,MUR,Sell,2009-11-17 16:00:00,1.00033075209,1.00033075209,-25.0,57.4,-1435.0,2160.0,1179399.91,0.0,0.0,
SUN,SUN,Buy,2009-11-17 16:00:00,1.00033075209,1.00033075209,87.0,25.04,2178.48,4986.0,1179399.91,0.0,0.0,
TAP,TAP,Sell,2009-11-17 16:00:00,1.00033075209,1.00033075209,-21.0,42.48,-892.08,2852.0,1179399.91,0.0,0.0,
WFM,WFM,Buy,2009-11-17 16:00:00,1.00033075209,1.00033075209,71.0,26.36,1871.56,4862.0,1179399.91,0.0,0.0,
CVS,CVS,Buy,2009-11-18 16:00:00,1.00605229657,1.00605229657,1033.0,29.61,30587.13,5400.0,1186629.74,0.0,0.0,
DV,DV,Buy,2009-11-18 16:00:00,1.00605229657,1.00605229657,603.0,53.48,32248.44,3016.0,1186629.74,0.0,0.0,
HCN,HCN,Sell,2009-11-18 16:00:00,1.00605229657,1.00605229657,-3033.0,37.9,-114950.7,0.0,1186629.74,0.0,0.0,
HCP,HCP,Sell,2009-11-18 16:00:00,1.00605229657,1.00605229657,-4462.0,26.0,-116012.0,0.0,1186629.74,0.0,0.0,
MNST,MNST,Buy,2009-11-18 16:00:00,1.00605229657,1.00605229657,949.0,17.49,16598.01,4659.0,1186629.74,0.0,0.0,
MUR,MUR,Buy,2009-11-18 16:00:00,1.00605229657,1.00605229657,540.0,56.58,30553.2,2700.0,1186629.74,0.0,0.0,
SUN,SUN,Buy,2009-11-18 16:00:00,1.00605229657,1.00605229657,1234.0,25.04,30899.36,6220.0,1186629.74,0.0,0.0,
TAP,TAP,Buy,2009-11-18 16:00:00,1.00605229657,1.00605229657,713.0,42.41,30238.33,3565.0,1186629.74,0.0,0.0,
WFM,WFM,Buy,2009-11-18 16:00:00,1.00605229657,1.00605229657,1321.0,25.9,34213.9,6183.0,1186629.74,0.0,0.0,
CVS,CVS,Sell,2009-11-19 16:00:00,0.999902048458,0.999902048458,-88.0,29.99,-2639.12,5312.0,1174445.32,0.0,0.0,
DV,DV,Sell,2009-11-19 16:00:00,0.999902048458,0.999902048458,-26.0,53.06,-1379.56,2990.0,1174445.32,0.0,0.0,
MNST,MNST,Sell,2009-11-19 16:00:00,0.999902048458,0.999902048458,-1.0,17.56,-17.56,4658.0,1174445.32,0.0,0.0,
MUR,MUR,Buy,2009-11-19 16:00:00,0.999902048458,0.999902048458,39.0,54.63,2130.57,2739.0,1174445.32,0.0,0.0,
SUN,SUN,Sell,2009-11-19 16:00:00,0.999902048458,0.999902048458,-22.0,24.33,-535.26,6198.0,1174445.32,0.0,0.0,
TAP,TAP,Sell,2009-11-19 16:00:00,0.999902048458,0.999902048458,-20.0,42.13,-842.6,3545.0,1174445.32,0.0,0.0,
WFM,WFM,Sell,2009-11-19 16:00:00,0.999902048458,0.999902048458,-71.0,26.65,-1892.15,6112.0,1174445.32,0.0,0.0,
CVS,CVS,Sell,2009-11-20 16:00:00,1.00107816362,1.00107816362,-113.0,30.53,-3449.89,5199.0,1176069.76,0.0,0.0,
DV,DV,Buy,2009-11-20 16:00:00,1.00107816362,1.00107816362,1.0,53.05,53.05,2991.0,1176069.76,0.0,0.0,
